SepalLength,SepalWidth,PetalLength,PetalWidth,Species
4.95,3.6,1.48,0.34,Iris-setosa
4.33,2.74,1.43,0.0,Iris-setosa
4.43,3.06,1.15,0.3,Iris-setosa
4.61,2.95,1.34,0.25,Iris-setosa
4.57,2.97,1.34,0.24,Iris-setosa
4.97,3.45,1.62,0.28,Iris-setosa
4.63,3.41,1.24,0.09,Iris-setosa
4.94,3.77,1.32,0.05,Iris-setosa
5.53,3.85,1.56,0.39,Iris-setosa
5.09,3.59,1.27,0.32,Iris-setosa
5.62,3.9,1.9,0.49,Iris-setosa
4.97,3.17,1.48,0.29,Iris-setosa
5.48,4.02,1.45,0.45,Iris-setosa
5.58,3.76,1.73,0.12,Iris-setosa
4.6,2.91,1.29,0.07,Iris-setosa
4.89,3.37,1.55,0.34,Iris-setosa
4.73,2.94,1.18,0.18,Iris-setosa
4.86,3.17,1.52,0.21,Iris-setosa
4.76,3.21,1.58,0.29,Iris-setosa
5.07,3.53,1.75,0.33,Iris-setosa
5.43,3.59,1.54,0.26,Iris-setosa
5.04,3.71,1.47,0.31,Iris-setosa
4.97,3.53,1.11,0.15,Iris-setosa
5.39,3.82,1.52,0.11,Iris-setosa
4.79,2.94,1.67,0.22,Iris-setosa
4.9,3.6,1.6,0.29,Iris-setosa
4.64,3.23,1.5,0.19,Iris-setosa
4.42,2.66,1.58,0.2,Iris-setosa
4.53,2.95,1.65,0.22,Iris-setosa
5.54,4.03,1.51,0.49,Iris-setosa
4.75,2.73,1.32,0.22,Iris-setosa
5.29,3.33,1.64,0.22,Iris-setosa
4.76,3.4,0.92,0.24,Iris-setosa
5.1,3.31,1.71,0.2,Iris-setosa
4.75,3.06,1.55,0.33,Iris-setosa
4.82,3.14,1.36,0.27,Iris-setosa
5.15,3.36,1.94,0.32,Iris-setosa
5.29,3.34,1.59,0.41,Iris-setosa
4.5,3.16,1.68,0.31,Iris-setosa
5.61,4.27,1.28,0.31,Iris-setosa
5.41,3.55,1.47,0.14,Iris-setosa
4.62,2.81,1.47,0.22,Iris-setosa
5.04,3.19,1.42,0.33,Iris-setosa
5.05,3.95,1.6,0.31,Iris-setosa
4.66,3.28,1.36,0.14,Iris-setosa
4.36,2.61,1.26,0.3,Iris-setosa
4.79,2.87,1.3,0.04,Iris-setosa
5.36,3.49,1.44,0.22,Iris-setosa
5.32,3.66,1.47,0.18,Iris-setosa
5.29,3.91,1.23,0.21,Iris-setosa
5.41,3.68,1.51,0.28,Iris-setosa
4.85,3.19,1.42,0.34,Iris-setosa
4.41,2.64,1.25,0.24,Iris-setosa
4.72,3.56,1.19,0.28,Iris-setosa
4.55,2.9,1.58,0.37,Iris-setosa
5.35,3.47,1.45,0.39,Iris-setosa
5.15,3.66,1.51,0.29,Iris-setosa
5.1,3.38,1.62,0.19,Iris-setosa
4.93,2.94,1.27,0.03,Iris-setosa
5.0,2.92,1.68,0.32,Iris-setosa
4.73,3.2,1.47,0.17,Iris-setosa
4.37,3.14,1.54,0.3,Iris-setosa
5.31,3.42,1.57,0.32,Iris-setosa
5.1,3.61,1.33,0.21,Iris-setosa
4.71,3.11,1.47,0.28,Iris-setosa
5.17,3.42,1.42,0.12,Iris-setosa
5.33,3.7,1.29,0.25,Iris-setosa
5.28,3.62,1.34,0.16,Iris-setosa
4.96,3.55,1.3,0.22,Iris-setosa
5.34,3.74,1.36,0.16,Iris-setosa
5.28,3.42,1.29,0.3,Iris-setosa
5.26,3.68,1.6,0.28,Iris-setosa
4.82,3.19,1.4,0.21,Iris-setosa
5.54,3.82,1.63,0.39,Iris-setosa
5.55,3.97,1.74,0.29,Iris-setosa
5.3,3.89,1.37,0.46,Iris-setosa
4.96,3.57,1.56,0.42,Iris-setosa
4.86,3.47,1.25,0.27,Iris-setosa
5.23,3.8,1.57,0.35,Iris-setosa
5.17,3.39,1.49,0.1,Iris-setosa
5.34,3.7,1.58,0.17,Iris-setosa
5.07,3.6,1.36,0.41,Iris-setosa
4.64,3.23,1.65,0.01,Iris-setosa
4.94,3.66,1.25,0.2,Iris-setosa
4.31,3.33,1.38,0.3,Iris-setosa
4.96,3.64,1.61,0.3,Iris-setosa
5.23,3.47,1.4,0.29,Iris-setosa
4.27,3.13,1.02,0.14,Iris-setosa
4.99,3.83,1.43,0.3,Iris-setosa
5.25,3.7,1.58,0.42,Iris-setosa
4.56,2.87,1.49,0.18,Iris-setosa
5.34,4.06,1.55,0.33,Iris-setosa
5.54,3.74,1.46,0.33,Iris-setosa
4.18,3.13,1.5,0.09,Iris-setosa
5.4,3.72,1.5,0.39,Iris-setosa
5.44,3.82,1.61,0.26,Iris-setosa
4.63,3.2,1.5,0.09,Iris-setosa
5.46,3.16,1.62,0.05,Iris-setosa
5.35,4.11,1.42,0.33,Iris-setosa
5.66,4.24,1.51,0.26,Iris-setosa
4.85,3.3,1.52,0.31,Iris-setosa
5.48,3.99,1.38,0.12,Iris-setosa
4.92,3.07,1.58,0.14,Iris-setosa
5.02,3.55,1.26,0.23,Iris-setosa
5.09,3.14,1.74,0.4,Iris-setosa
5.07,3.05,1.4,0.29,Iris-setosa
5.02,3.46,1.42,0.26,Iris-setosa
5.06,3.91,1.82,0.3,Iris-setosa
5.1,3.83,1.67,0.33,Iris-setosa
5.09,3.56,1.46,0.4,Iris-setosa
5.3,4.03,1.69,0.32,Iris-setosa
5.07,3.45,1.25,0.21,Iris-setosa
5.17,3.41,1.48,0.36,Iris-setosa
5.13,3.53,1.57,0.31,Iris-setosa
4.73,3.21,1.71,0.27,Iris-setosa
5.15,2.92,1.48,0.42,Iris-setosa
4.71,3.06,1.37,0.38,Iris-setosa
5.2,3.44,1.74,0.33,Iris-setosa
4.83,2.86,1.42,0.44,Iris-setosa
5.13,3.72,1.65,0.28,Iris-setosa
5.22,3.97,1.36,0.32,Iris-setosa
5.06,3.34,1.37,0.25,Iris-setosa
5.12,3.43,1.47,0.22,Iris-setosa
5.62,3.76,1.48,0.32,Iris-setosa
4.54,3.22,1.43,0.38,Iris-setosa
4.73,2.94,1.25,0.05,Iris-setosa
4.67,3.19,1.19,0.29,Iris-setosa
4.32,2.59,1.55,0.03,Iris-setosa
4.97,3.19,1.63,0.2,Iris-setosa
4.55,2.62,1.19,0.16,Iris-setosa
5.32,3.29,1.42,0.3,Iris-setosa
5.41,4.17,1.78,0.38,Iris-setosa
5.17,3.64,1.45,0.2,Iris-setosa
5.17,3.26,1.5,0.31,Iris-setosa
4.93,3.35,1.7,0.26,Iris-setosa
5.54,3.91,1.46,0.31,Iris-setosa
4.87,2.96,1.41,0.11,Iris-setosa
4.66,3.26,1.74,0.36,Iris-setosa
4.34,3.16,1.28,0.26,Iris-setosa
5.11,3.68,1.35,0.06,Iris-setosa
5.42,3.84,1.35,0.26,Iris-setosa
5.25,3.85,1.66,0.39,Iris-setosa
5.65,3.91,1.32,0.25,Iris-setosa
4.84,3.38,1.51,0.22,Iris-setosa
5.12,3.56,1.84,0.36,Iris-setosa
5.11,3.39,1.94,0.37,Iris-setosa
4.68,2.86,1.73,0.14,Iris-setosa
4.91,3.23,1.67,0.11,Iris-setosa
5.2,3.53,1.22,0.14,Iris-setosa
4.83,3.26,1.68,0.13,Iris-setosa
4.77,3.14,1.33,0.06,Iris-setosa
5.16,3.83,1.51,0.37,Iris-setosa
5.09,3.24,1.75,0.08,Iris-setosa
4.75,3.37,1.46,0.3,Iris-setosa
4.99,3.45,1.65,0.31,Iris-setosa
4.74,2.79,1.43,0.12,Iris-setosa
5.33,3.85,1.7,0.35,Iris-setosa
5.37,3.82,1.43,0.13,Iris-setosa
4.69,3.14,1.85,0.29,Iris-setosa
4.87,3.26,1.49,0.28,Iris-setosa
5.13,3.44,1.29,0.19,Iris-setosa
5.31,4.1,1.45,0.28,Iris-setosa
5.02,3.6,1.62,0.28,Iris-setosa
5.42,3.36,1.38,0.21,Iris-setosa
4.9,3.25,1.61,0.14,Iris-setosa
4.86,3.28,1.22,0.04,Iris-setosa
5.13,3.29,1.62,0.22,Iris-setosa
5.32,3.96,1.46,0.36,Iris-setosa
4.57,3.42,1.12,0.19,Iris-setosa
4.93,3.69,1.58,0.3,Iris-setosa
4.38,2.96,1.24,0.2,Iris-setosa
5.02,3.11,1.46,0.11,Iris-setosa
5.05,3.2,1.78,0.35,Iris-setosa
4.74,3.35,1.34,0.27,Iris-setosa
5.63,3.65,1.61,0.12,Iris-setosa
5.08,3.66,1.61,0.16,Iris-setosa
5.12,3.43,1.48,0.2,Iris-setosa
4.84,3.31,1.52,0.29,Iris-setosa
5.34,4.07,1.42,0.39,Iris-setosa
5.18,3.61,1.61,0.23,Iris-setosa
5.18,3.51,1.24,0.28,Iris-setosa
5.63,3.74,1.43,0.38,Iris-setosa
4.66,2.75,1.58,0.36,Iris-setosa
5.84,4.43,1.43,0.26,Iris-setosa
4.74,3.2,1.41,0.12,Iris-setosa
4.87,3.14,1.53,0.19,Iris-setosa
4.88,2.99,1.31,0.21,Iris-setosa
4.7,3.49,1.24,0.26,Iris-setosa
5.48,3.46,1.36,0.25,Iris-setosa
4.53,3.02,1.3,0.28,Iris-setosa
4.93,3.6,1.51,0.1,Iris-setosa
5.25,3.77,1.5,0.32,Iris-setosa
5.04,3.25,1.47,0.22,Iris-setosa
4.3,2.6,1.13,0.11,Iris-setosa
4.38,3.22,1.62,0.22,Iris-setosa
5.19,3.7,1.24,0.29,Iris-setosa
4.79,3.56,1.27,0.19,Iris-setosa
4.46,3.03,1.34,-0.01,Iris-setosa
5.19,3.47,1.51,0.5,Iris-setosa
5.2,3.27,1.71,0.26,Iris-setosa
4.83,3.39,1.45,0.35,Iris-setosa
5.17,3.36,1.11,0.31,Iris-setosa
5.3,3.69,1.53,0.22,Iris-setosa
5.03,3.13,1.42,0.14,Iris-setosa
4.72,3.28,1.4,0.24,Iris-setosa
5.13,2.68,1.59,0.17,Iris-setosa
5.18,4.0,1.58,0.22,Iris-setosa
4.98,3.54,1.6,0.25,Iris-setosa
4.33,2.68,1.36,0.09,Iris-setosa
4.97,3.5,1.63,0.33,Iris-setosa
4.93,3.08,1.42,0.21,Iris-setosa
5.15,2.91,1.51,0.29,Iris-setosa
5.38,3.43,1.69,0.11,Iris-setosa
5.33,3.73,1.58,0.34,Iris-setosa
5.23,3.82,1.4,0.3,Iris-setosa
4.93,3.14,1.57,0.24,Iris-setosa
5.5,3.71,1.56,0.31,Iris-setosa
5.39,3.94,1.42,0.25,Iris-setosa
4.92,3.27,1.37,0.17,Iris-setosa
5.14,3.5,1.35,0.14,Iris-setosa
4.92,3.34,1.5,0.28,Iris-setosa
5.52,3.37,1.59,-0.04,Iris-setosa
5.74,4.23,1.61,0.33,Iris-setosa
5.33,3.2,1.5,0.28,Iris-setosa
5.08,3.91,1.56,0.33,Iris-setosa
4.51,3.3,1.17,0.27,Iris-setosa
4.9,3.43,1.47,0.09,Iris-setosa
4.9,3.39,1.23,0.24,Iris-setosa
4.54,2.72,1.43,-0.03,Iris-setosa
5.36,3.66,1.29,0.11,Iris-setosa
4.44,2.88,1.41,0.03,Iris-setosa
5.24,3.48,1.39,0.36,Iris-setosa
5.42,3.36,1.82,0.41,Iris-setosa
5.36,3.28,1.36,0.37,Iris-setosa
4.64,3.14,1.47,0.3,Iris-setosa
5.19,3.26,1.43,0.22,Iris-setosa
5.15,3.19,1.7,0.15,Iris-setosa
5.12,4.01,1.53,0.3,Iris-setosa
4.19,2.72,1.32,0.03,Iris-setosa
4.91,3.1,1.28,0.26,Iris-setosa
3.95,2.6,1.19,0.17,Iris-setosa
4.75,3.26,1.37,0.16,Iris-setosa
4.58,2.77,1.55,0.19,Iris-setosa
5.03,4.0,1.74,0.24,Iris-setosa
5.67,4.25,1.74,0.41,Iris-setosa
5.52,3.52,1.59,0.17,Iris-setosa
5.27,3.71,1.58,0.38,Iris-setosa
5.62,3.54,1.62,0.17,Iris-setosa
5.17,3.34,1.21,0.23,Iris-setosa
4.79,3.13,1.18,0.05,Iris-setosa
5.08,3.33,1.49,0.15,Iris-setosa
5.01,3.78,1.81,0.41,Iris-setosa
5.24,3.64,1.43,0.32,Iris-setosa
4.67,3.12,1.59,0.32,Iris-setosa
5.13,3.6,1.18,0.26,Iris-setosa
4.66,3.25,1.41,0.2,Iris-setosa
4.92,3.27,0.99,0.18,Iris-setosa
5.31,3.36,1.36,0.2,Iris-setosa
5.45,3.55,1.61,0.2,Iris-setosa
4.75,3.58,1.52,0.26,Iris-setosa
4.86,2.79,1.64,0.31,Iris-setosa
4.99,3.46,1.66,0.33,Iris-setosa
5.45,4.07,1.27,0.23,Iris-setosa
5.24,3.92,1.54,0.16,Iris-setosa
4.49,2.93,1.52,0.18,Iris-setosa
5.12,3.53,1.35,0.25,Iris-setosa
4.6,2.65,1.47,0.24,Iris-setosa
4.8,3.07,1.38,0.22,Iris-setosa
4.87,3.77,1.7,0.32,Iris-setosa
5.04,3.8,1.39,0.26,Iris-setosa
4.8,3.35,1.44,0.24,Iris-setosa
5.08,3.38,1.49,0.27,Iris-setosa
5.3,3.63,1.74,0.18,Iris-setosa
4.77,3.5,1.19,0.2,Iris-setosa
5.16,3.31,1.75,0.36,Iris-setosa
5.28,4.02,1.55,0.54,Iris-setosa
5.72,4.16,1.36,0.18,Iris-setosa
5.56,3.78,1.6,0.29,Iris-setosa
4.79,3.51,1.26,0.12,Iris-setosa
5.19,3.38,1.54,0.15,Iris-setosa
5.33,3.55,1.56,0.28,Iris-setosa
4.2,2.82,1.66,0.22,Iris-setosa
5.13,3.41,1.2,0.07,Iris-setosa
5.46,3.66,1.32,0.39,Iris-setosa
5.06,3.28,1.39,0.09,Iris-setosa
5.51,3.89,1.44,0.63,Iris-setosa
5.21,3.52,1.66,0.29,Iris-setosa
5.17,3.32,1.67,0.27,Iris-setosa
4.11,2.41,1.21,0.11,Iris-setosa
4.69,3.35,1.29,0.16,Iris-setosa
4.57,3.1,1.54,0.42,Iris-setosa
5.2,3.19,1.55,0.19,Iris-setosa
5.21,3.89,1.37,0.39,Iris-setosa
5.09,3.06,1.22,0.21,Iris-setosa
5.15,3.38,1.36,0.05,Iris-setosa
5.12,3.48,1.69,0.15,Iris-setosa
5.07,3.74,1.55,0.31,Iris-setosa
5.06,3.61,1.41,0.29,Iris-setosa
5.28,3.63,1.61,0.23,Iris-setosa
5.63,3.91,1.67,0.34,Iris-setosa
4.69,2.96,1.19,0.26,Iris-setosa
5.2,3.8,1.42,0.27,Iris-setosa
4.84,3.29,1.35,0.14,Iris-setosa
5.22,3.53,1.46,0.15,Iris-setosa
5.07,2.89,1.44,-0.01,Iris-setosa
5.22,3.18,1.23,0.23,Iris-setosa
5.04,3.46,1.48,0.24,Iris-setosa
5.28,3.54,1.45,0.38,Iris-setosa
5.0,3.73,1.42,0.3,Iris-setosa
5.23,3.71,1.68,0.24,Iris-setosa
5.49,3.58,1.35,0.22,Iris-setosa
4.22,2.39,1.44,0.15,Iris-setosa
5.25,3.97,1.22,0.27,Iris-setosa
4.5,2.8,1.5,0.17,Iris-setosa
4.57,3.09,1.34,0.15,Iris-setosa
4.78,2.94,1.57,0.32,Iris-setosa
5.59,4.31,1.44,0.29,Iris-setosa
5.61,4.04,1.57,0.21,Iris-setosa
4.5,2.94,1.18,0.07,Iris-setosa
5.08,3.54,1.69,0.19,Iris-setosa
5.21,3.84,1.62,0.23,Iris-setosa
4.86,3.22,1.13,0.16,Iris-setosa
4.94,3.03,1.45,0.09,Iris-setosa
5.2,3.4,1.58,0.3,Iris-setosa
5.21,3.45,1.46,0.35,Iris-setosa
5.81,4.2,1.36,0.32,Iris-setosa
5.14,3.64,1.46,0.23,Iris-setosa
5.11,3.24,1.25,0.43,Iris-setosa
5.07,3.21,1.49,0.41,Iris-setosa
5.51,3.54,1.47,0.16,Iris-setosa
4.75,3.48,1.64,0.25,Iris-setosa
5.05,3.33,1.46,0.47,Iris-setosa
5.11,3.16,1.52,0.21,Iris-setosa
4.77,3.35,1.62,0.39,Iris-setosa
5.01,3.65,1.46,0.24,Iris-setosa
4.99,3.44,1.41,0.33,Iris-setosa
4.42,2.85,1.34,0.18,Iris-setosa
4.53,2.75,1.59,0.3,Iris-setosa
5.23,3.53,1.22,0.23,Iris-setosa
5.07,3.65,1.54,0.19,Iris-setosa
5.09,3.64,1.41,0.24,Iris-setosa
4.71,2.97,1.71,0.46,Iris-setosa
5.46,3.56,1.47,0.29,Iris-setosa
5.16,3.34,1.61,0.31,Iris-setosa
5.09,3.46,1.42,0.24,Iris-setosa
5.2,3.77,1.45,0.35,Iris-setosa
5.29,3.5,1.53,0.12,Iris-setosa
4.73,3.45,1.68,0.21,Iris-setosa
4.83,3.58,1.46,0.25,Iris-setosa
