Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Class
32095.05,421.4136,-436.0209,-275.5276,-516.9256,-614.9481,31398.1888,933.6996,-49.5235,549.4079,KDE_Synthetic
31187.3569,776.9014,221.0456,179.5174,55.9042,90.9416,31501.2617,258.9675,-45.1349,-56.303,KDE_Synthetic
31016.3527,606.3534,211.0244,80.0721,-91.8087,-78.2098,31531.8354,307.6029,49.6824,34.8421,KDE_Synthetic
31100.7923,629.1193,-15.4511,206.6006,299.2848,-190.1324,31606.5765,211.1874,-24.2791,-163.9776,KDE_Synthetic
32250.2734,621.3616,146.902,215.1589,-4.7317,-28.3509,32526.8804,196.0921,59.7298,-26.8289,KDE_Synthetic
31846.4066,658.4588,255.6514,229.5848,25.9643,40.7815,32161.2658,193.8283,-13.9161,21.2611,KDE_Synthetic
31998.8694,449.8813,252.9455,206.8777,-36.3161,49.0577,32351.1474,232.9375,-47.8596,-52.8266,KDE_Synthetic
32205.4145,648.7725,239.431,156.0308,-23.4757,-40.4786,32547.9709,215.2756,13.7568,-28.5455,KDE_Synthetic
30700.7649,644.2924,209.8964,154.7176,-10.0366,-4.2963,31062.4398,184.7765,-3.8892,32.9782,KDE_Synthetic
31031.8781,590.7069,160.2686,167.8843,-9.45,-26.9303,31441.4707,216.5401,-17.5101,-42.1997,KDE_Synthetic
31777.9919,657.3063,238.8194,185.8555,2.0248,-4.4874,32133.0091,204.2687,84.012,36.1078,KDE_Synthetic
32009.93,678.5176,177.4297,165.7483,-32.1434,-1.4255,32368.7512,188.7164,1.2125,-8.0437,KDE_Synthetic
30498.1457,723.7899,64.8362,168.074,-94.9842,-237.4476,31079.9793,240.9643,-66.6091,-256.5973,KDE_Synthetic
28728.2238,633.5443,216.6914,166.8101,-1.6992,2.8565,29169.8656,213.563,-2.3432,-6.3478,KDE_Synthetic
31639.105,682.1256,201.2699,227.2789,74.0278,-64.6117,32016.657,83.1455,34.2511,-67.1861,KDE_Synthetic
30816.9116,657.8704,182.7943,216.0059,46.406,10.0408,31129.5821,161.4733,-16.3613,13.7241,KDE_Synthetic
31669.5238,707.1616,166.064,180.4826,-140.6883,23.8951,32030.3183,134.6773,-3.3338,-8.6567,KDE_Synthetic
31340.1871,630.0489,241.9918,156.7504,83.8917,30.5057,31645.3222,190.8997,-29.9774,-20.235,KDE_Synthetic
32074.3772,391.9006,188.3554,211.8952,179.1039,174.771,32809.4183,326.3065,445.0103,198.3195,KDE_Synthetic
31372.6602,604.9215,109.7807,127.2873,5.6675,19.4163,31642.2729,168.0048,-15.8563,28.3655,KDE_Synthetic
30494.1378,615.1821,188.6591,177.9509,-17.5758,-16.3532,30873.865,200.474,39.661,86.7637,KDE_Synthetic
30006.9333,669.017,221.9345,130.2065,-14.4275,20.8966,30810.5345,175.4279,-28.1072,-72.6744,KDE_Synthetic
30806.9066,671.6239,276.8942,173.6022,-25.784,-35.6113,31144.7509,214.6166,17.2262,0.9472,KDE_Synthetic
32246.2024,603.024,258.869,158.4504,-10.2269,-19.6549,32710.7714,258.9358,-18.6092,-25.9516,KDE_Synthetic
31876.7665,584.1009,-193.4896,247.7472,535.9306,39.7187,32350.555,93.1935,15.0755,-105.0839,KDE_Synthetic
31667.7154,630.9286,298.6165,186.2546,25.1757,22.6763,32026.5822,223.8688,-21.6233,8.8766,KDE_Synthetic
31499.6884,615.9624,278.4437,65.4765,-101.0726,-36.2523,31809.7707,193.468,-31.026,25.8928,KDE_Synthetic
31706.2555,572.9414,89.1599,286.5617,20.0741,120.2872,32175.7612,282.3735,-46.5909,-43.4467,KDE_Synthetic
30498.8115,671.1271,246.4886,254.9143,-53.7339,-64.0677,31010.5595,185.2474,33.8196,-67.0988,KDE_Synthetic
32082.4647,617.1005,245.8302,164.668,-51.9669,83.0096,32251.1864,172.3976,160.3494,-121.4749,KDE_Synthetic
32234.6799,692.024,205.1927,184.9016,40.6434,-32.4075,32614.1725,199.3356,-11.4088,31.3365,KDE_Synthetic
31109.6335,659.2757,236.128,139.0754,-17.8384,-38.5632,31411.6963,191.2174,-28.005,-33.9921,KDE_Synthetic
31962.3172,430.7522,228.5799,251.13,196.5145,113.9866,32070.4757,396.9669,-14.5611,42.4567,KDE_Synthetic
31742.8359,671.0697,204.1343,161.8219,-6.6519,-0.8628,32062.3652,208.4233,-14.4425,24.0613,KDE_Synthetic
30939.2543,636.8095,222.3818,189.5534,-3.1564,29.5084,31270.0477,191.0834,-71.5234,10.8781,KDE_Synthetic
32014.4037,564.9389,187.5425,200.3163,9.7509,-77.4666,32294.3715,173.0378,-16.4837,-43.9737,KDE_Synthetic
30191.111,570.0742,217.5833,225.5393,-62.677,-64.2081,30513.8164,236.4999,59.6838,40.4149,KDE_Synthetic
31653.8848,571.1466,-22.1691,375.9288,124.8757,-108.8896,31752.1392,111.5374,83.9056,44.7912,KDE_Synthetic
31206.8402,769.0047,267.0705,247.5969,-76.0462,54.7409,31509.5428,96.3846,80.0721,74.9324,KDE_Synthetic
30304.604,645.811,-221.8641,266.2162,112.4663,85.9931,30109.4007,-13.4991,-164.5869,-175.9718,KDE_Synthetic
32177.391,609.3766,61.5002,240.9325,-137.1725,-55.3484,32364.0977,393.5345,125.6964,274.7738,KDE_Synthetic
30654.4754,600.5471,81.7084,62.7238,-63.1859,-49.8994,31053.5004,271.1771,-57.703,15.826,KDE_Synthetic
32196.9612,642.1476,238.2153,220.7895,-27.7238,-3.1082,32551.1078,161.4372,4.2951,-20.4592,KDE_Synthetic
31766.7027,642.9503,236.1122,80.2893,23.5102,61.8586,32184.8186,86.3116,-11.9807,24.3708,KDE_Synthetic
