Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Class
0.9639,0.0,0.1536,0.0,0.0,0.3371,0.4246,0.0,0.2629,0.0019,0.0976,SEKER
3.1027,0.0,0.1146,0.0,0.0,0.0593,2.5875,0.0,0.0,0.0,0.0,SEKER
2.1132,0.0,0.2286,0.0,0.0,0.2628,1.5528,0.0,0.2441,0.0,0.0051,SEKER
2.0933,0.0,0.0626,0.0,0.0,0.1493,1.549,0.0,0.0053,0.0,0.0565,SEKER
3.8953,0.0,0.1518,0.0,0.0,0.0977,3.3665,0.0,0.0,0.0,0.0,SEKER
2.0939,0.0,0.2792,0.0,0.0,0.1872,1.547,0.0,0.2621,0.0,0.0385,SEKER
4.9765,0.0,0.1452,0.0,0.0,0.1308,4.439,0.0,0.0,0.0,0.0,SEKER
1.383,0.0,0.0326,0.0,0.0,0.2636,0.8485,0.0,0.0902,0.0,0.0661,SEKER
2.0514,0.0,0.2754,0.0,0.0,0.3044,1.47,0.0,0.3181,0.0,0.0,SEKER
1.3422,0.0,0.1031,0.0,0.0,0.295,0.7974,0.0,0.1642,0.0,0.0781,SEKER
1.5976,0.0,0.1283,0.0,0.0,0.2263,1.0347,0.0,0.1442,0.0,0.077,SEKER
1.8444,0.0,0.1039,0.0,0.0,0.2751,1.2843,0.0,0.1255,0.0,0.0336,SEKER
1.3842,0.0,0.2829,0.0,0.0,0.3541,0.797,0.0,0.3811,0.0,0.0488,SEKER
3.0232,0.0,0.0397,0.0,0.0,0.1588,2.4912,0.0,0.0,0.0,0.0,SEKER
3.7773,0.0,0.161,0.0,0.0,0.1309,3.2356,0.0,0.0281,0.0,0.0,SEKER
2.8104,0.0,0.1576,0.0,0.0,0.2156,2.2495,0.0,0.1128,0.0,0.0,SEKER
1.9268,0.0,0.3753,0.0,0.0,0.3488,1.3215,0.0,0.4515,0.0,0.0,SEKER
1.3954,0.0,0.2103,0.0,0.0,0.3428,0.8158,0.0,0.2961,0.0,0.0546,SEKER
3.7866,0.0,0.1709,0.0,0.0,0.1475,3.234,0.0,0.0481,0.0,0.0,SEKER
4.5162,0.0,0.204,0.0,0.0,0.129,3.9487,0.0,0.0334,0.0,0.0,SEKER
2.4803,0.0,0.1122,0.0,0.0,0.2485,1.9199,0.0,0.094,0.0,0.0,SEKER
4.8481,0.0,0.2097,0.0,0.0,0.1219,4.2787,0.0,0.0166,0.0,0.0,SEKER
4.0792,0.0,0.1193,0.0,0.0,0.1395,3.5533,0.0,0.0,0.0,0.0,SEKER
3.3594,0.0,0.1386,0.0,0.0,0.1563,2.8097,0.0,0.0341,0.0,0.0,SEKER
1.9323,0.0,0.2017,0.0,0.0,0.2795,1.3632,0.0,0.2326,0.0,0.0173,SEKER
1.8038,0.0,0.2806,0.0,0.0,0.2864,1.2291,0.0,0.3283,0.0,0.0267,SEKER
3.0895,0.0,0.1453,0.0,0.0,0.2015,2.5354,0.0,0.079,0.0,0.0,SEKER
5.0167,0.0,0.1361,0.0,0.0,0.1046,4.5002,0.0,0.0,0.0,0.0,SEKER
1.4237,0.0,0.2587,0.0,0.0,0.2637,0.8551,0.0,0.3161,0.0,0.0782,SEKER
3.0462,0.0,0.1822,0.0,0.0,0.0785,2.5104,0.0,0.0573,0.0,0.0,SEKER
0.4154,0.0,0.0,0.0,0.0,0.3367,0.0,0.0,0.0,0.0,0.1945,SEKER
1.7894,0.0,0.2181,0.0,0.0,0.319,1.2147,0.0,0.2752,0.0,0.0172,SEKER
3.8308,0.0,0.2847,0.0,0.0,0.1785,3.2361,0.0,0.1791,0.0,0.0,SEKER
3.2681,0.0,0.319,0.0,0.0,0.2643,2.6578,0.0,0.2838,0.0,0.0,SEKER
2.4707,0.0,0.2366,0.0,0.0,0.2275,1.9078,0.0,0.2208,0.0,0.0,SEKER
1.4322,0.0,0.3325,0.0,0.0,0.337,0.8496,0.0,0.4234,0.0,0.0507,SEKER
2.581,0.0,0.1553,0.0,0.0,0.234,2.0186,0.0,0.1296,0.0,0.0,SEKER
6.3496,0.0,0.0893,0.0,0.0,0.0,5.9047,0.0,0.0,0.0,0.0,SEKER
1.8707,0.0,0.0,0.0,0.0,0.1626,1.407,0.0,0.0,0.0,0.0424,SEKER
4.1928,0.0,0.101,0.0,0.0,0.151,3.6696,0.0,0.0,0.0,0.0,SEKER
1.4767,0.0,0.2988,0.0,0.0,0.3181,0.8967,0.0,0.3792,0.0,0.0513,SEKER
2.0116,0.0,0.2199,0.0,0.0,0.2473,1.4538,0.0,0.2314,0.0,0.0236,SEKER
2.3187,0.0,0.042,0.0,0.0,0.2365,1.7548,0.0,0.0185,0.0,0.0,SEKER
1.9147,0.0,0.2127,0.0,0.0,0.2233,1.3575,0.0,0.218,0.0,0.0429,SEKER
1.2097,0.0,0.0,0.0,0.0,0.2199,0.6837,0.0,0.0512,0.0078,0.0598,SEKER
2.4521,0.0,0.1329,0.0,0.0,0.2532,1.8903,0.0,0.1202,0.0,0.0,SEKER
0.6581,0.0,0.0,0.0,0.0,0.3717,0.2112,0.0,0.0,0.0,0.0704,SEKER
1.3456,0.0,0.3044,0.0,0.0,0.3068,0.7674,0.0,0.3856,0.0,0.0711,SEKER
0.6413,0.0,0.1989,0.0,0.0,0.3191,0.1621,0.0,0.187,0.0,0.2227,SEKER
1.6489,0.0,0.2599,0.0,0.0,0.3044,1.0758,0.0,0.3211,0.0,0.0394,SEKER
4.1787,0.0,0.0992,0.0,0.0,0.1578,3.6505,0.0,0.0,0.0,0.0,SEKER
2.1931,0.0,0.1374,0.0,0.0,0.2719,1.6228,0.0,0.1489,0.0,0.0,SEKER
1.5937,0.0,0.3285,0.0,0.0,0.2119,1.0458,0.0,0.3445,0.0,0.09,SEKER
3.8753,0.0,0.133,0.0,0.0,0.091,3.3588,0.0,0.0,0.0,0.0,SEKER
2.317,0.0,0.0973,0.0,0.0,0.2561,1.7523,0.0,0.0885,0.0,0.0,SEKER
1.172,0.0,0.1751,0.0,0.0,0.3367,0.6401,0.0,0.2699,0.0,0.0804,SEKER
2.263,0.0,0.3266,0.0,0.0,0.3131,1.6697,0.0,0.3666,0.0,0.0,SEKER
1.4559,0.0,0.1981,0.0,0.0,0.345,0.9005,0.0,0.2865,0.0,0.0394,SEKER
2.0398,0.0,0.1453,0.0,0.0,0.2163,1.5677,0.0,0.1534,0.0,0.0153,SEKER
2.1322,0.0,0.0705,0.0,0.0,0.2042,1.5671,0.0,0.0466,0.0,0.0224,SEKER
1.4106,0.0,0.1166,0.0,0.0,0.2397,0.8564,0.0,0.1463,0.0,0.094,SEKER
0.2597,0.0,0.0,0.0,0.065,0.3401,0.0,0.1614,0.0,0.0,0.2832,SEKER
1.9248,0.0,0.2083,0.0,0.0,0.307,1.3488,0.0,0.252,0.0,0.007,SEKER
3.3833,0.0,0.1297,0.0,0.0,0.1601,2.8321,0.0,0.027,0.0,0.0,SEKER
1.2877,0.0,0.0806,0.0,0.0,0.2324,0.7338,0.0,0.1206,0.0,0.0998,SEKER
1.6029,0.0,0.1277,0.0,0.0,0.2599,1.0337,0.0,0.1608,0.0,0.0618,SEKER
3.1406,0.0,0.1814,0.0,0.0,0.1815,2.5824,0.0,0.1077,0.0,0.0,SEKER
2.3834,0.0,0.2118,0.0,0.0,0.2893,1.8152,0.0,0.2274,0.0,0.0,SEKER
1.3485,0.0,0.1869,0.0,0.0,0.3282,0.823,0.0,0.2666,0.0,0.0691,SEKER
2.0109,0.0,0.0535,0.0,0.0,0.2536,1.4425,0.0,0.0558,0.0,0.0191,SEKER
1.77,0.0,0.1611,0.0,0.0,0.2999,1.2242,0.0,0.2104,0.0,0.0232,SEKER
1.7495,0.0,0.2382,0.0,0.0,0.2788,1.1699,0.0,0.2905,0.0,0.0295,SEKER
3.1464,0.0,0.1648,0.0,0.0,0.1884,2.5867,0.0,0.0926,0.0,0.0,SEKER
3.8465,0.0,0.1821,0.0,0.0,0.1631,3.2813,0.0,0.0641,0.0,0.0,SEKER
1.3739,0.0,0.2547,0.0,0.0,0.319,0.823,0.0,0.3334,0.0,0.0704,SEKER
3.8248,0.0,0.04,0.0,0.0,0.1575,3.3134,0.0,0.0,0.0,0.0,SEKER
4.4399,0.0,0.1174,0.0,0.0,0.1521,3.9066,0.0,0.0,0.0,0.0,SEKER
3.7868,0.0,0.224,0.0,0.0,0.1401,3.2172,0.0,0.1016,0.0,0.0,SEKER
3.112,0.0,0.0544,0.0,0.0,0.1864,2.5678,0.0,0.0,0.0,0.0,SEKER
1.0427,0.0,0.2328,0.0,0.0,0.3111,0.4834,0.0,0.294,0.0,0.1267,SEKER
0.7758,0.0,0.2598,0.0,0.0,0.3917,0.2237,0.0,0.3378,0.0214,0.1445,SEKER
3.3227,0.0,0.164,0.0,0.0,0.1023,2.7826,0.0,0.0373,0.0,0.0,SEKER
1.5841,0.0,0.2167,0.0,0.0,0.3415,1.003,0.0,0.2934,0.0,0.0324,SEKER
1.1209,0.0,0.0569,0.0,0.0,0.2872,0.5586,0.0,0.1342,0.0,0.0925,SEKER
1.9848,0.0,0.0591,0.0,0.0,0.1311,1.4645,0.0,0.0361,0.0,0.0335,SEKER
0.5889,0.0,0.0,0.0,0.0,0.3001,0.138,0.0,0.0,0.0792,0.0526,SEKER
1.3336,0.0,0.2538,0.0,0.0,0.3166,0.743,0.0,0.3406,0.0,0.0634,SEKER
1.8788,0.0,0.1021,0.0,0.0,0.2544,1.3165,0.0,0.1126,0.0,0.0368,SEKER
2.3134,0.0,0.1388,0.0,0.0,0.2606,1.7489,0.0,0.1364,0.0,0.0,SEKER
1.6386,0.0,0.1272,0.0,0.0,0.2345,1.0718,0.0,0.1467,0.0,0.0671,SEKER
1.976,0.0,0.307,0.0,0.0,0.3499,1.3972,0.0,0.3793,0.0,0.0,SEKER
1.1907,0.0,0.4058,0.0,0.0,0.466,0.5833,0.0,0.5394,0.0086,0.0382,SEKER
3.9991,0.0,0.1368,0.0,0.0,0.1557,3.4581,0.0,0.0037,0.0,0.0,SEKER
0.9969,0.0,0.2458,0.0,0.0,0.31,0.4453,0.0,0.2966,0.0,0.1415,SEKER
2.86,0.0,0.236,0.0,0.0,0.2035,2.2975,0.0,0.1909,0.0,0.0,SEKER
0.9308,0.0,0.0,0.0,0.0,0.3344,0.4252,0.0,0.0,0.0,0.0897,SEKER
3.9932,0.0,0.0823,0.0,0.0,0.1454,3.4796,0.0,0.0,0.0,0.0,SEKER
2.1153,0.0,0.1024,0.0,0.0,0.1724,1.5666,0.0,0.0598,0.0,0.044,SEKER
2.2351,0.0,0.2313,0.0,0.0,0.1811,1.6872,0.0,0.2001,0.0,0.0248,SEKER
0.2983,0.0,0.0851,0.0,0.0392,0.2977,0.0,0.2262,0.0654,0.042,0.2688,SEKER
0.993,0.0,0.0973,0.0,0.0,0.2516,0.4725,0.0,0.1796,0.0113,0.1076,SEKER
1.3971,0.0,0.027,0.0,0.0,0.2689,0.8317,0.0,0.0742,0.0,0.0735,SEKER
1.895,0.0,0.1595,0.0,0.0,0.1983,1.3443,0.0,0.1457,0.0,0.0585,SEKER
1.0138,0.0,0.0,0.0,0.0,0.274,0.4552,0.0,0.0582,0.0,0.0931,SEKER
1.8851,0.0,0.2311,0.0,0.0,0.2917,1.3117,0.0,0.273,0.0,0.0166,SEKER
1.982,0.0,0.1913,0.0,0.0,0.2579,1.4195,0.0,0.2083,0.0,0.0214,SEKER
0.758,0.0,0.0797,0.0,0.0,0.3349,0.183,0.0,0.1939,0.0231,0.1145,SEKER
2.12,0.0,0.1152,0.0,0.0,0.2535,1.5556,0.0,0.1165,0.0,0.0076,SEKER
2.283,0.0,0.1395,0.0,0.0,0.2707,1.7285,0.0,0.1458,0.0,0.0,SEKER
2.1545,0.0,0.1218,0.0,0.0,0.1903,1.5909,0.0,0.0959,0.0,0.0238,SEKER
2.3539,0.0,0.1883,0.0,0.0,0.2364,1.7919,0.0,0.1779,0.0,0.0,SEKER
3.0916,0.0,0.2896,0.0,0.0,0.1958,2.5218,0.0,0.2279,0.0,0.0,SEKER
1.4541,0.0,0.0,0.0,0.0,0.2767,0.9002,0.0,0.0,0.0,0.0586,SEKER
5.154,0.0,0.1795,0.0,0.0,0.0494,4.6442,0.0,0.0,0.0,0.0,SEKER
1.419,0.0,0.2468,0.0,0.0,0.3084,0.8517,0.0,0.317,0.0,0.068,SEKER
0.6118,0.0,0.0,0.0,0.0,0.3246,0.0444,0.0,0.098,0.0667,0.0936,SEKER
3.3193,0.0,0.0906,0.0,0.0,0.1818,2.7859,0.0,0.0039,0.0,0.0,SEKER
2.3974,0.0,0.2114,0.0,0.0,0.2178,1.8416,0.0,0.1902,0.0,0.0,SEKER
2.1444,0.0,0.2554,0.0,0.0,0.2261,1.5912,0.0,0.2529,0.0,0.0171,SEKER
1.9412,0.0,0.1648,0.0,0.0,0.2688,1.3758,0.0,0.1867,0.0,0.0217,SEKER
3.0198,0.0,0.1356,0.0,0.0,0.1634,2.4659,0.0,0.0526,0.0,0.0,SEKER
2.2346,0.0,0.1431,0.0,0.0,0.1901,1.6835,0.0,0.1079,0.0,0.0222,SEKER
1.3864,0.0,0.0,0.0,0.0,0.2367,0.9646,0.0,0.0,0.0,0.0185,SEKER
2.2062,0.0,0.1455,0.0,0.0,0.1868,1.6509,0.0,0.1132,0.0,0.0237,SEKER
3.9856,0.0,0.1876,0.0,0.0,0.1404,3.4258,0.0,0.0516,0.0,0.0,SEKER
1.954,0.0,0.0298,0.0,0.0,0.2334,1.4024,0.0,0.0242,0.0,0.0328,SEKER
1.1664,0.0,0.1037,0.0,0.0,0.257,0.6099,0.0,0.1665,0.0,0.1009,SEKER
1.9747,0.0,0.2003,0.0,0.0,0.3,1.4203,0.0,0.2351,0.0,0.0097,SEKER
2.4962,0.0,0.1581,0.0,0.0,0.212,1.9512,0.0,0.1237,0.0,0.0,SEKER
1.7726,0.0,0.2347,0.0,0.0,0.275,1.2085,0.0,0.2745,0.0,0.038,SEKER
2.419,0.0,0.2043,0.0,0.0,0.1839,1.871,0.0,0.1626,0.0,0.0033,SEKER
2.0903,0.0,0.1991,0.0,0.0,0.2209,1.5346,0.0,0.1924,0.0,0.0247,SEKER
2.9186,0.0,0.0831,0.0,0.0,0.1609,2.3742,0.0,0.0,0.0,0.0,SEKER
2.5348,0.0,0.13,0.0,0.0,0.2432,1.9744,0.0,0.1092,0.0,0.0,SEKER
2.4707,0.0,0.086,0.0,0.0,0.2415,1.9104,0.0,0.0626,0.0,0.0,SEKER
2.3985,0.0,0.1154,0.0,0.0,0.2363,1.8843,0.0,0.0998,0.0,0.0,SEKER
1.8107,0.0,0.0922,0.0,0.0,0.2496,1.24,0.0,0.1083,0.0,0.0409,SEKER
4.3749,0.0,0.1618,0.0,0.0,0.1329,3.8315,0.0,0.0,0.0,0.0,SEKER
2.0942,0.0,0.2048,0.0,0.0,0.2794,1.5244,0.0,0.228,0.0,0.0,SEKER
1.6926,0.0,0.1959,0.0,0.0,0.3049,1.1474,0.0,0.2454,0.0,0.0414,SEKER
1.8137,0.0,0.1355,0.0,0.0,0.2844,1.2729,0.0,0.1736,0.0,0.0242,SEKER
3.2122,0.0,0.202,0.0,0.0,0.1489,2.664,0.0,0.1077,0.0,0.0,SEKER
0.2213,0.0,0.0219,0.0,0.1597,0.31,0.0,0.2349,0.0128,0.0,0.2723,SEKER
3.1041,0.0,0.2566,0.0,0.0,0.1647,2.5384,0.0,0.1837,0.0,0.0,SEKER
2.2937,0.0,0.2737,0.0,0.0,0.1788,1.7439,0.0,0.2446,0.0,0.0164,SEKER
0.6259,0.0,0.0,0.0,0.0,0.2493,0.1191,0.0,0.0589,0.0375,0.1248,SEKER
1.9649,0.0,0.0102,0.0,0.0,0.2316,1.4034,0.0,0.0,0.0,0.0362,SEKER
2.7679,0.0,0.0943,0.0,0.0,0.2097,2.2242,0.0,0.0497,0.0,0.0,SEKER
4.1583,0.0,0.1361,0.0,0.0,0.1302,3.6246,0.0,0.0,0.0,0.0,SEKER
2.2385,0.0,0.0839,0.0,0.0,0.2222,1.6797,0.0,0.0598,0.0,0.0082,SEKER
2.1348,0.0,0.27,0.0,0.0,0.2535,1.5654,0.0,0.286,0.0,0.0014,SEKER
2.0085,0.0,0.2183,0.0,0.0,0.2677,1.4404,0.0,0.2418,0.0,0.0124,SEKER
1.1036,0.0,0.1891,0.0,0.0,0.2889,0.5367,0.0,0.2497,0.0,0.1167,SEKER
3.448,0.0,0.2735,0.0,0.0,0.1192,2.8895,0.0,0.16,0.0,0.0,SEKER
1.469,0.0,0.0,0.0,0.0,0.2698,0.9188,0.0,0.0,0.0,0.0598,SEKER
2.1624,0.0,0.1947,0.0,0.0,0.2489,1.6038,0.0,0.1972,0.0,0.0059,SEKER
1.6773,0.0,0.1889,0.0,0.0,0.3115,1.1039,0.0,0.2451,0.0,0.0349,SEKER
0.918,0.0,0.2426,0.0,0.0,0.3129,0.3774,0.0,0.2818,0.0,0.1602,SEKER
1.4089,0.0,0.221,0.0,0.0,0.3023,0.8456,0.0,0.2873,0.0,0.0721,SEKER
2.1301,0.0,0.1139,0.0,0.0,0.1292,1.5838,0.0,0.0578,0.0,0.0517,SEKER
3.1128,0.0,0.1402,0.0,0.0,0.1922,2.5595,0.0,0.0669,0.0,0.0,SEKER
3.651,0.0,0.1518,0.0,0.0,0.1677,3.0949,0.0,0.0434,0.0,0.0,SEKER
1.2479,0.0,0.0,0.0,0.0,0.2375,0.7231,0.0,0.0,0.0,0.0863,SEKER
2.3959,0.0,0.1133,0.0,0.0,0.2395,1.8326,0.0,0.0948,0.0,0.0,SEKER
1.9476,0.0,0.2337,0.0,0.0,0.3441,1.387,0.0,0.301,0.0,0.0,SEKER
1.1167,0.0,0.0,0.0,0.0,0.2952,0.5756,0.0,0.0,0.0,0.066,SEKER
2.1129,0.0,0.215,0.0,0.0,0.2668,1.5514,0.0,0.2314,0.0,0.0036,SEKER
1.7711,0.0,0.2164,0.0,0.0,0.3282,1.1921,0.0,0.278,0.0,0.0158,SEKER
1.0725,0.0,0.0,0.0,0.0,0.2773,0.5534,0.0,0.0,0.0062,0.0708,SEKER
3.9671,0.0,0.3272,0.0,0.0,0.2276,3.3418,0.0,0.2392,0.0,0.0,SEKER
2.0443,0.0,0.179,0.0,0.0,0.2657,1.4873,0.0,0.1992,0.0,0.0078,SEKER
3.4824,0.0,0.0,0.0,0.0,0.1628,2.966,0.0,0.0,0.0,0.0,SEKER
4.177,0.0,0.1221,0.0,0.0,0.1216,3.6498,0.0,0.0,0.0,0.0,SEKER
0.8258,0.0,0.0,0.0,0.0,0.3133,0.3475,0.0,0.0,0.0,0.0833,SEKER
0.4228,0.0,0.1615,0.0,0.0,0.3314,0.0,0.1216,0.1265,0.0212,0.2533,SEKER
2.2047,0.0,0.2285,0.0,0.0,0.2459,1.6431,0.0,0.2315,0.0,0.0003,SEKER
2.1948,0.0,0.0511,0.0,0.0,0.2465,1.6303,0.0,0.039,0.0,0.0027,SEKER
1.4296,0.0,0.0498,0.0,0.0,0.2863,0.8588,0.0,0.0995,0.0,0.0692,SEKER
1.825,0.0,0.2245,0.0,0.0,0.3135,1.2625,0.0,0.2758,0.0,0.0186,SEKER
1.1881,0.0,0.3044,0.0,0.0,0.3956,0.5877,0.0,0.4332,0.0004,0.0528,SEKER
3.2933,0.0,0.0803,0.0,0.0,0.1852,2.7531,0.0,0.0,0.0,0.0,SEKER
4.1633,0.0,0.1585,0.0,0.0,0.1478,3.6148,0.0,0.0124,0.0,0.0,SEKER
2.0719,0.0,0.1394,0.0,0.0,0.2601,1.5525,0.0,0.1525,0.0,0.0074,SEKER
1.067,0.0,0.2113,0.0,0.0,0.3042,0.4994,0.0,0.2753,0.0,0.1193,SEKER
2.358,0.0,0.0558,0.0,0.0,0.1531,1.8169,0.0,0.0,0.0,0.0254,SEKER
1.4728,0.0,0.0,0.0,0.0,0.2932,0.9565,0.0,0.0,0.0,0.0351,SEKER
1.576,0.0,0.2283,0.0,0.0,0.2518,1.0081,0.0,0.2697,0.0,0.0657,SEKER
4.493,0.0,0.1304,0.0,0.0,0.0628,3.9877,0.0,0.0,0.0,0.0,SEKER
2.4686,0.0,0.2604,0.0,0.0,0.3002,1.896,0.0,0.2817,0.0,0.0,SEKER
1.9441,0.0,0.075,0.0,0.0,0.2584,1.3933,0.0,0.0859,0.0,0.0242,SEKER
1.0233,0.0,0.2634,0.0,0.0,0.3429,0.4557,0.0,0.3453,0.0,0.114,SEKER
1.4825,0.0,0.0367,0.0,0.0,0.2848,0.9166,0.0,0.0796,0.0,0.0662,SEKER
3.5488,0.0,0.2183,0.0,0.0,0.2304,2.9864,0.0,0.1524,0.0,0.0,SEKER
1.7838,0.0,0.2783,0.0,0.0,0.2464,1.2262,0.0,0.3059,0.0,0.0493,SEKER
1.811,0.0,0.2779,0.0,0.0,0.3123,1.23,0.0,0.3362,0.0,0.0156,SEKER
2.1018,0.0,0.3523,0.0,0.0,0.2738,1.512,0.0,0.3859,0.0,0.0,SEKER
0.9294,0.0,0.0,0.0,0.0,0.266,0.4475,0.0,0.0,0.0284,0.0554,SEKER
0.9938,0.0,0.0,0.0,0.0,0.2972,0.4515,0.0,0.0,0.0,0.087,SEKER
2.1016,0.0,0.1444,0.0,0.0,0.2789,1.5459,0.0,0.1636,0.0,0.0,SEKER
2.0049,0.0,0.2083,0.0,0.0,0.2738,1.4615,0.0,0.2334,0.0,0.0129,SEKER
1.0617,0.0,0.1061,0.0,0.0,0.3114,0.493,0.0,0.1928,0.0,0.0994,SEKER
2.6899,0.0,0.1107,0.0,0.0,0.2225,2.1302,0.0,0.0686,0.0,0.0,SEKER
2.251,0.0,0.1221,0.0,0.0,0.2658,1.6901,0.0,0.1243,0.0,0.0,SEKER
2.932,0.0,0.1072,0.0,0.0,0.135,2.3906,0.0,0.0074,0.0,0.0,SEKER
1.3354,0.0,0.3861,0.0,0.0,0.3635,0.7467,0.0,0.4665,0.0,0.0625,SEKER
4.1829,0.0,0.057,0.0,0.0,0.14,3.6787,0.0,0.0,0.0,0.0,SEKER
1.7888,0.0,0.1348,0.0,0.0,0.2978,1.2244,0.0,0.1751,0.0,0.0281,SEKER
1.3096,0.0,0.2464,0.0,0.0,0.2171,0.7711,0.0,0.2624,0.0,0.1152,SEKER
1.5911,0.0,0.2079,0.0,0.0,0.3338,1.0186,0.0,0.2859,0.0,0.027,SEKER
2.1677,0.0,0.1524,0.0,0.0,0.2663,1.6339,0.0,0.1632,0.0,0.0,SEKER
2.9666,0.0,0.1618,0.0,0.0,0.1983,2.422,0.0,0.1025,0.0,0.0,SEKER
2.1565,0.0,0.179,0.0,0.0,0.2613,1.592,0.0,0.1889,0.0,0.0,SEKER
2.039,0.0,0.0,0.0,0.0,0.2355,1.5366,0.0,0.0,0.0,0.0183,SEKER
1.2765,0.0,0.0,0.0,0.0,0.2556,0.7417,0.0,0.0,0.0,0.0777,SEKER
1.3239,0.0,0.2025,0.0,0.0,0.3548,0.7469,0.0,0.2973,0.0,0.0574,SEKER
1.1888,0.0,0.0,0.0,0.0,0.2585,0.6576,0.0,0.0,0.0,0.0789,SEKER
0.3967,0.0,0.0,0.0,0.0,0.3527,0.0,0.0,0.0,0.0,0.149,SEKER
0.778,0.0,0.008,0.0,0.0,0.3211,0.2009,0.0,0.124,0.0178,0.1093,SEKER
4.7745,0.0,0.1654,0.0,0.0,0.1155,4.2361,0.0,0.0,0.0,0.0,SEKER
2.2963,0.0,0.1544,0.0,0.0,0.2675,1.7294,0.0,0.1573,0.0,0.0,SEKER
1.9917,0.0,0.2555,0.0,0.0,0.2358,1.43,0.0,0.2695,0.0,0.0262,SEKER
1.1618,0.0,0.0357,0.0,0.0,0.2177,0.6152,0.0,0.1039,0.0,0.0844,SEKER
3.996,0.0,0.1236,0.0,0.0,0.0873,3.4789,0.0,0.0,0.0,0.0,SEKER
1.3307,0.0,0.2109,0.0,0.0,0.3113,0.795,0.0,0.2886,0.0,0.0744,SEKER
1.954,0.0,0.3041,0.0,0.0,0.2552,1.3847,0.0,0.3326,0.0,0.0213,SEKER
2.2832,0.0,0.1526,0.0,0.0,0.1429,1.7408,0.0,0.0916,0.0,0.0367,SEKER
2.2132,0.0,0.1072,0.0,0.0,0.2254,1.7227,0.0,0.1002,0.0,0.0,SEKER
